Mobile;Radio Call Sign;Date;Latitude;Longitude;Heading;Speed
MULATO (L/B);CA4086;14/03/2019 15:18:00;-18.4743;-70.3217;285;0
DON LUIS ALBERTO II (ART);CA3864;14/03/2019 15:17:55;-37.0973;-73.1644;205;0.097
DON ALEX (L/B);CB4472;14/03/2019 15:17:50;-44.0439;-75.1437;30;9
SANTA MARGARITA I (L/B);CB2394;14/03/2019 15:17:46;-18.472;-70.3231;22;0.505
ESTRELLA DE BELEN I (L/B);CB7386;14/03/2019 15:17:37;-37.6007;-73.6585;167;0
RUCACH I (ART-TRP);CB8233;14/03/2019 15:17:35;-53.0956;-70.8746;0;0
RIO JORDAN X (ART);CA7673;14/03/2019 15:17:30;-37.0978;-73.1648;49;0
DON RAUL M (ART);CB6352;14/03/2019 15:17:26;-18.4724;-70.3227;26;0
DON EUGENIO (ART);CB7246;14/03/2019 15:17:19;-42.1445;-74.813;208;0.797
GALILEA I (ART);CA3627;14/03/2019 15:17:11;-37.1371;-73.3063;50;6.492
FRONTERA (TRP);CB7833;14/03/2019 15:17:04;-53.0966;-70.8751;0;0
ORION IV (ART);CA3426;14/03/2019 15:17:00;-42.376111;-73.620278;39;0
MAULINA IV (ART);CB8615;14/03/2019 15:17:00;-36.6911;-73.0652;242;6.492
DOÑA GLADYS II (ART);CA3307;14/03/2019 15:17:00;-37.158333;-73.349722;283;7.192
CRISTINA (ART);CB7787;14/03/2019 15:17:00;-36.677222;-73.055833;222;7.192
BILL (ART);CB2187;14/03/2019 15:17:00;-36.711944;-73.112778;105;0
TURIMAR II (ART);CB7028;14/03/2019 15:17:00;-36.642222;-73.090278;0;0
ANA MARIA (ART);CA2598;14/03/2019 15:17:00;-37.156111;-73.390556;27;0.603
ADONAY II (ART-TRP);CA2528;14/03/2019 15:17:00;-53.0956;-70.875;0;0
DON JORGE LUIS M (ART);CB8183;14/03/2019 15:17:00;-37.026944;-73.1575;15;0.097
EL BELA (ART);CB8059;14/03/2019 15:16:58;-37.0974;-73.167;123;0.408
MAR DE LIGURIA (ART);CA3680;14/03/2019 15:16:55;-36.5356;-72.9554;49;0
MARY PAZ II (ART);CB8321;14/03/2019 15:16:55;-23.0938;-70.445;70;0.097
JORGE VI (TRP);CA6408;14/03/2019 15:16:50;-53.0976;-70.8726;146;0
JOYA I (L/B);CB7132;14/03/2019 15:16:46;-37.6007;-73.6584;0;0
LUIS ALBERTO I (L/B);CA7608;14/03/2019 15:16:42;-37.6008;-73.6583;200;0
CHANGO (ART);CA2065;14/03/2019 15:16:38;-36.7121;-73.1126;0;0
BUENA FE II (L/B);CB5552;14/03/2019 15:16:31;-39.6586;-74.8871;299;6.492
PETROHUE III (ART);CB8757;14/03/2019 15:16:25;-18.4723;-70.3211;334;0.505
ARKHOS I (ART);CB8235;14/03/2019 15:16:21;-18.4716;-70.3223;347;0.505
DON FRUCTUOSO (ART);CB7433;14/03/2019 15:16:13;-18.4728;-70.3216;329;0.505
DON LUCHO (ART);CB9555;14/03/2019 15:16:09;-18.4716;-70.3231;14;0.505
GOLONDRINA II (ART);CB4527;14/03/2019 15:16:03;-39.8739;-73.3836;18;0
EUGENIO (ART);CA3058;14/03/2019 15:16:03;-41.7874;-73.1502;285;0.097
SAN SEBASTIAN I;CB9031;14/03/2019 15:16:00;-41.512778;-72.334722;0;0
DON MATEO (ART);CA2746;14/03/2019 15:16:00;-37.026389;-73.156667;161;0
HALCON I (ART);CA5204;14/03/2019 15:16:00;-36.711389;-73.109722;185;0
ALBORADA (ART);CB8966;14/03/2019 15:15:58;-41.4873;-72.9749;110;0
DON DANILO F;CA6716;14/03/2019 15:15:57;-37.6009;-73.6586;239;0
ISAURA I (ART);CA2650;14/03/2019 15:15:56;-18.473;-70.3215;9;0.505
UZIEL II (ART);CB7875;14/03/2019 15:15:55;-36.5299;-72.9561;22;0.505
VALENCIA (ART);CB2452;14/03/2019 15:15:51;-20.2045;-70.1527;350;0.505
RIO MAIPO II (ART);CB3569;14/03/2019 15:15:42;-36.7261;-73.1324;356;0
ABEL (ART);CA3747;14/03/2019 15:15:36;-18.4723;-70.3234;15;0.505
EBENEZER II (ART);CB8449;14/03/2019 15:15:36;-39.8536;-73.424;183;6.492
ARKHOS II (ART);CB6995;14/03/2019 15:15:34;-18.4716;-70.3224;0;0
DON VICENTE I (ART);CB4407;14/03/2019 15:15:34;-37.6005;-73.659;318;0
DON MAXI (ART);CA5119;14/03/2019 15:15:34;-37.6016;-73.6574;13;0
DON ROBERT (ART);CA2698;14/03/2019 15:15:32;-37.0283;-73.4626;317;8.495
CALYPSO III (L/B);CB3661;14/03/2019 15:15:05;-39.8331;-73.255;350;0
PATRICIA VANESSA (ART);CA3534;14/03/2019 15:15:01;-37.0265;-73.1573;201;0.408
CARLA BELEN I (L/B);CB7097;14/03/2019 15:15:00;-37.6016;-73.6552;217;0
DON CARLOS (L/B);CB9160;14/03/2019 15:15:00;-37.6018;-73.6549;68;0
JOSE BASILIO (L/B);CB3181;14/03/2019 15:15:00;-37.6012;-73.6558;15;0
CHAFIC I (ART);CA3537;14/03/2019 15:15:00;-29.7151;-71.3912;3;1.497
DON NESTOR (L/B);CB8291;14/03/2019 15:15:00;-43.1231;-73.6238;310;0
LAUREANO V (L/B);CB4920;14/03/2019 15:15:00;-35.3377;-72.3998;4;0
MARIA INES (L/B);CB2105;14/03/2019 15:15:00;-44.0678;-74.4346;217;6.006
JUAN CLAUDIO I (L/B);CA3501;14/03/2019 15:15:00;-37.6017;-73.6573;349;0
HECTOR ALFREDO (L/B);CA4908;14/03/2019 15:15:00;-39.2235;-74.904;85;0.505
DON ADRIAN (L/B);CB3605;14/03/2019 15:15:00;-43.1231;-73.6237;285;0
IVETH I (L/B);CB3558;14/03/2019 15:15:00;-40.0577;-75.6307;1;6.492
MUTRUN (L/B);CA5814;14/03/2019 15:15:00;-35.3386;-72.3986;270;0
JUAN ANTONIO I (L/B);CB7000;14/03/2019 15:15:00;-25.9741;-70.9255;330;5.501
MARIA CRUZ II (L/B);CB3666;14/03/2019 15:15:00;-39.076;-75.1607;320;0.505
NEFI (L/B);CB7327;14/03/2019 15:15:00;-36.7257;-73.1317;350;0
DON GILBERTO I (ART);CB3819;14/03/2019 15:15:00;-40.3388;-76.1174;33;6.492
VALENTINA ARACELI (L/B);CA4719;14/03/2019 15:15:00;-39.3989;-74.9102;282;6.492
YOVANKA (L/B);CB5271;14/03/2019 15:15:00;-38.9485;-75.2266;330;0
SANTA PALESTINA I (L/B);CA3533;14/03/2019 15:15:00;-37.6017;-73.655;248;0
MILENIUM (L/B);CB6708;14/03/2019 15:15:00;-39.8291;-73.2513;35;0
DON ADRIAN II (L/B-TRP);CB9577;14/03/2019 15:15:00;-43.1231;-73.6239;321;0
STA XIMENA (L/B);CB6886;14/03/2019 15:15:00;-37.5917;-73.6616;287;0.505
DOÑA NIEVES (L/B);CB6028;14/03/2019 15:15:00;-39.9611;-75.6294;347;6.998
SAN CARLOS II (L/B);CB4097;14/03/2019 15:15:00;-45.9445;-75.525;10;0
OSCAR ALONSO (L/B);CA4424;14/03/2019 15:15:00;-39.1812;-75.054;227;0
JUAN CLAUDIO II (L/B);CA4448;14/03/2019 15:15:00;-37.6016;-73.6572;51;0
LUIS DAVID I (L/B);CA4286;14/03/2019 15:15:00;-40.0933;-75.6905;154;0.505
HUMBOLDT II (ART);CB8112;14/03/2019 15:15:00;-18.471;-70.3232;262;0
ARAUCANA III (L/B);CB4205;14/03/2019 15:15:00;-41.6285;-74.8922;221;0.991
SANTA ISABEL IV (L/B);CB8764;14/03/2019 15:15:00;-50.7776;-76.3434;117;0
LAGO GENESARET (L/B);CB2854;14/03/2019 15:15:00;-39.8925;-75.5224;88;5.501
ROCIO III (L/B);CB7658;14/03/2019 15:15:00;-27.0637;-70.8248;305;0
CARMENCHA (L/B);CB4100;14/03/2019 15:15:00;-39.8327;-73.2547;28;0
PAOLA STEPHANIE (L/B);CA3299;14/03/2019 15:15:00;-37.6035;-73.6521;25;0
EL PACIFICO (ART);CA2729;14/03/2019 15:15:00;-41.557222;-73.024167;24;8.495
TUMBES (L/B);CA3554;14/03/2019 15:15:00;-39.377;-74.9041;185;0
DON ENRIQUE F (L/B);CB9690;14/03/2019 15:15:00;-39.2218;-74.984;321;0.505
JOYA II (L/B);CB3092;14/03/2019 15:15:00;-37.6027;-73.6534;38;0
MORONI (L/B);CB3993;14/03/2019 15:15:00;-40.035;-75.6985;37;0.505
LAUCA (ART);CA3610;14/03/2019 15:15:00;-36.696111;-73.073611;9;0
ESTURION (ART);CA3933;14/03/2019 15:15:00;-36.640833;-73.090278;129;0
YOLIH (ART);CB2504;14/03/2019 15:15:00;-36.709167;-73.087222;243;4.004
DON DEMETRIO III (ART);CB8555;14/03/2019 15:15:00;-37.098056;-73.165556;53;0
CANDELARIA II (ART);CA4249;14/03/2019 15:15:00;-28.146111;-71.271111;348;0
ANTARES II (ART);CB8832;14/03/2019 15:15:00;-42.891944;-73.483056;228;7.095
DON ISAAC (ART);CA3231;14/03/2019 15:15:00;-41.764444;-73.128056;0;0
MAGDALENA II (ART);CB3050;14/03/2019 15:15:00;-36.711667;-73.113056;0;0
ACUARIO IV (ART);CB3567;14/03/2019 15:15:00;-37.600833;-73.658611;0;0
COYI I (ART);CA5350;14/03/2019 15:14:58;-18.472;-70.3214;0;0
TUAREG I (ART);CB8162;14/03/2019 15:14:58;-18.4728;-70.3232;321;0.505
POLACO I (ART-TRP);CA5779;14/03/2019 15:14:46;-53.097;-70.873;231;0
PETROHUE II (ART);CB7843;14/03/2019 15:14:40;-18.4726;-70.3208;0;0
MARCO POLO (ART);CB2247;14/03/2019 15:14:00;-36.711667;-73.113056;0;0
CAMPARI III (ART);CB9578;14/03/2019 15:14:00;-41.5025;-72.990833;0;0
TOTO (ART);CA2459;14/03/2019 15:14:00;-41.764167;-73.129167;0;0
JACKIE (L/B);CB4098;14/03/2019 15:14:00;-41.4929;-72.9851;0;0
PIA LICETTY I (ART);CA5601;14/03/2019 15:14:00;-45.467222;-72.820278;311;0
PEDRO L (L/B);CA6466;14/03/2019 15:14:00;-36.7125;-73.112222;320;0
VALENTINA (L/B);CA7237;14/03/2019 15:14:00;-18.470833;-70.323056;294;0
NELLY (ART);CB3301;14/03/2019 15:14:00;-37.026667;-73.158056;158;0
JORGE ANDRES (ART);CA6216;14/03/2019 15:14:00;-37.025833;-73.1575;134;0
MAMA EDITH (ART);CA6783;14/03/2019 15:14:00;-37.161944;-73.358056;292;0.603
NIÑA XIMENA (L/B);CA6685;14/03/2019 15:14:00;-37.108056;-73.492222;196;5.307
KAREN PAMELA (ART);CA4047;14/03/2019 15:14:00;-18.471667;-70.323611;210;0
ELVA S (ART;CB3120;14/03/2019 15:13:53;-18.4719;-70.3214;0;0
PAOLA I (ART);CA3182;14/03/2019 15:13:22;-37.097;-73.1661;27;0.097
SARITA ELVIRA (ART);CB4283;14/03/2019 15:13:19;-42.7231;-74.7961;180;0.603
DON PASCUAL (ART);CB5242;14/03/2019 15:13:18;-36.7126;-73.1117;5;0
LOBO DE AFUERA IV (ART);CA3433;14/03/2019 15:13:17;-18.4724;-70.3226;0;0
SUSANA (ART);CB7903;14/03/2019 15:13:05;-36.7274;-73.1319;159;0.194
MAR PRIMERO (ART);CB8415;14/03/2019 15:13:00;-37.5992;-73.662;138;0
OCEANI III (ART);CB2594;14/03/2019 15:13:00;-41.777778;-73.131667;0;0
XOLOT (ART);CB8110;14/03/2019 15:12:36;-28.1479;-71.307;152;1.497
ARKHOS IV (ART);CA6307;14/03/2019 15:12:25;-18.4716;-70.3224;9;0.505
ISAURA (ART);CB5051;14/03/2019 15:12:19;-18.4727;-70.3218;0;0
PETROHUE I (ART);CB7842;14/03/2019 15:12:16;-18.4724;-70.3207;8;0
CAROLINA I (L/B);CB4336;14/03/2019 15:12:15;-39.865;-75.6991;329;6.201
GUAJACHE II (ART);CA2756;14/03/2019 15:12:13;-18.4722;-70.3218;0;0
COYI II (ART);CA5302;14/03/2019 15:12:10;-18.472;-70.3213;18;0
SANTIAGO (ART);CB8541;14/03/2019 15:12:09;-18.4711;-70.3227;0;0
FRAPOLI (L/B);CB3805;14/03/2019 15:12:00;-46.262;-75.4353;85;8.009
PIGARGO (ART);CB3431;14/03/2019 15:12:00;-45.409722;-72.942778;353;0
DON FRANCISCO I (ART);CA3074;14/03/2019 15:12:00;-41.844167;-73.151667;278;7.406
SANTA AIDA I (ART);CA2333;14/03/2019 15:12:00;-37.026389;-73.158889;0;0
DON ALFONSO II (ART);CB6772;14/03/2019 15:12:00;-41.493056;-72.984722;4;0
DON BENJA (ART);CA4314;14/03/2019 15:12:00;-39.895833;-75.568333;89;6.395
KOKALECA III (ART);CA2563;14/03/2019 15:12:00;-41.908056;-73.210556;4;6.803
DOÑA CATALINA (ART);CB4518;14/03/2019 15:12:00;-37.025;-73.156667;212;0
SUSANA III (ART);CA4166;14/03/2019 15:12:00;-39.498056;-75.936667;1;1.205
DON KAKO (ART);CA4315;14/03/2019 15:12:00;-36.7125;-73.112222;0;0
SOTILEZA (ART);CB5040;14/03/2019 15:12:00;-37.1;-73.169722;95;6.298
GIANFRANCO (ART);CA5228;14/03/2019 15:12:00;-37.099444;-73.171389;114;0
DON ARMANDO (ART);CB3212;14/03/2019 15:12:00;-36.641111;-73.091111;92;0
MARICIA (ART);CB4523;14/03/2019 15:12:00;-36.640833;-73.090556;64;0
DON DIONISIO II (ART);CA5286;14/03/2019 15:12:00;-37.026389;-73.159167;2;0
PUNTA TALCA (ART);CB2177;14/03/2019 15:11:56;-29.76;-71.3905;183;2.508
DON JOSE IV (ART)_1322;CB5682;14/03/2019 15:11:44;-36.3894;-72.9381;228;1.108
DON TITO R (ART);CB6575;14/03/2019 15:11:42;-39.1991;-74.9621;121;1.691
DON ANSELMO II (ART);CB9589;14/03/2019 15:11:36;-37.0985;-73.1667;0;0
DON UBALDO H.Q. (ART);CB4148;14/03/2019 15:11:33;-18.4712;-70.3222;19;1.497
DON PEYO I (ART-TRP);CB8940;14/03/2019 15:11:31;-51.7383;-72.5039;0;0
JOSUE (ART);CB6783;14/03/2019 15:11:27;-36.726;-73.1319;6;0.505
ODISEO (ART);CB8088;14/03/2019 15:11:21;-18.4718;-70.322;0;0
MARCELO RODOLFO (ART);CB6507;14/03/2019 15:11:19;-18.4709;-70.3232;358;0.505
PETER I (ART-TRP);CB9325;14/03/2019 15:11:18;-53.0956;-70.8747;0;0
AMADEUS II (ART);CA5192;14/03/2019 15:11:18;-18.4725;-70.3232;340;0.505
JOYA DEL PACIFICO (L/B);CB3632;14/03/2019 15:11:17;-33.036;-71.6278;4;0.505
LORETO V (ART);CA5374;14/03/2019 15:11:09;-18.4708;-70.3232;0;0
MARIA ISABEL (ART);CB4425;14/03/2019 15:11:04;-36.7263;-73.1322;0;0
DON NENE (ART);CB5547;14/03/2019 15:11:01;-37.5998;-73.662;0;0
J J (ART);CB2506;14/03/2019 15:11:00;-18.4723;-70.3218;0;0
SANTA MARIA A (ART);CA3051;14/03/2019 15:11:00;-41.488611;-72.971667;271;0.097
LUIS DAVID II (ART);CA5440;14/03/2019 15:11:00;-38.954722;-75.483611;11;0.408
DON RODRIGO B (ART);CA3929;14/03/2019 15:11:00;-37.098056;-73.486944;11;0.7
AMPARITO I (ART);CB8202;14/03/2019 15:11:00;-36.715;-73.1075;111;0
REY DE REYES (ART);CA4170;14/03/2019 15:11:00;-37.601667;-73.6575;221;0
DON LINO (ART);CB2026;14/03/2019 15:11:00;-43.121667;-73.624722;0;0
CHANGO I (ART);CA4154;14/03/2019 15:10:56;-18.4712;-70.3224;20;0.505
LOBO DE AFUERA V (ART);CA4636;14/03/2019 15:10:48;-18.4724;-70.3226;339;0.505
GRINGO PABLO II (ART);CB8300;14/03/2019 15:10:47;-18.473;-70.3216;0;0
ISAAC (ART);CB8039;14/03/2019 15:10:46;-36.7261;-73.1318;7;0
AMADEUS (ART);CA4581;14/03/2019 15:10:45;-18.4724;-70.3232;0;0
KAWESCAR (ART);CB8264;14/03/2019 15:10:43;-18.4713;-70.3233;358;0
DON LUCHO III (ART);CA5091;14/03/2019 15:10:41;-37.0998;-73.1656;133;0.408
BRYAN ALEJANDRO (ART);CA6493;14/03/2019 15:10:33;-41.867;-73.8327;0;0
PELICANO (ART);CB2179;14/03/2019 15:10:29;-18.4715;-70.3227;353;0
SANDRITA I (ART);CB6813;14/03/2019 15:10:25;-36.7267;-73.1316;0;0
TAJAMAR V (ART-TRP);CB8962;14/03/2019 15:10:13;-55.0368;-67.0233;0;0
DON FELIX III (L/B);CA5860;14/03/2019 15:10:12;-41.4974;-72.9858;0;0
OSFRAMA (ART);CA5559;14/03/2019 15:10:02;-39.8355;-73.2593;0;0
GREISIS NICOL II (ART);CA2615;14/03/2019 15:10:01;-53.132;-74.2994;13;0.194
FERNANDO ANDRES II (L/B);CB8500;14/03/2019 15:10:00;-33.5835;-71.6146;40;0
LUCAS I (ART);CB9299;14/03/2019 15:10:00;-37.026111;-73.157222;358;0
EMELINDA (ART);CB3118;14/03/2019 15:10:00;-36.725833;-73.132222;0;0
DON JULIO (ART);CB7737;14/03/2019 15:10:00;-39.946667;-75.5875;345;2.002
GENESIS ELENA (ART);CB7443;14/03/2019 15:10:00;-37.603611;-73.651944;104;0
YUCATAN (L/B);CA3551;14/03/2019 15:10:00;-38.946111;-75.098889;191;1.905
ANTARES IV (ART);CA2738;14/03/2019 15:10:00;-41.764444;-73.128333;206;0
DON JAIME (ART);CA2276;14/03/2019 15:10:00;-39.270278;-74.968889;63;0.292
IGNACIA MONSERRAT (L/B);CA5615;14/03/2019 15:09:59;-35.3387;-72.3981;9;0
INTREPIDA II (ART);CB3914;14/03/2019 15:09:56;-36.7266;-73.1317;12;0.505
DON LUIS ALBERTO II (ART);CA3864;14/03/2019 15:09:55;-37.0973;-73.1644;253;0
ROYAL BLUE (L/B);CA6676;14/03/2019 15:09:54;-27.0639;-70.8245;307;0
SANTA MARGARITA I (L/B);CB2394;14/03/2019 15:09:43;-18.472;-70.323;0;0
TIBURON B (ART);CB5791;14/03/2019 15:09:40;-41.7869;-73.1493;321;0
MATIAS NICOLAS (ART);CA5093;14/03/2019 15:09:38;-36.7264;-73.1303;0;0
ARKHOS I (ART);CB8235;14/03/2019 15:09:37;-18.4716;-70.3223;341;0
RIO JORDAN X (ART);CA7673;14/03/2019 15:09:30;-37.0978;-73.1648;185;0
DON RAUL M (ART);CB6352;14/03/2019 15:09:25;-18.4724;-70.3227;355;0.505
STA. ISABEL III (L/B);CB8761;14/03/2019 15:09:18;-51.6792;-76.1305;337;0.505
GALILEA I (ART);CA3627;14/03/2019 15:09:11;-37.1451;-73.3196;53;6.298
CHANGO (ART);CA2065;14/03/2019 15:09:03;-36.7121;-73.1126;0;0
GABRIELA I (ART);CB2412;14/03/2019 15:09:02;-27.9079;-71.2471;222;6.492
SOFIA M (L/B);CA6636;14/03/2019 15:09:00;-39.798611;-75.553333;19;6.706
PATRICIA III (ART);CB3815;14/03/2019 15:09:00;-36.538333;-72.955833;68;0
DOÑA GLADYS II (ART);CA3307;14/03/2019 15:09:00;-37.153056;-73.33;257;7.795
MARBELLA II (ART);CB6318;14/03/2019 15:09:00;-36.650556;-73.081944;187;4.704
ANA MARIA (ART);CA2598;14/03/2019 15:09:00;-37.1575;-73.391111;35;1.205
PUERTO BRAVO (ART);CB7625;14/03/2019 15:09:00;-37.603333;-73.6525;108;0
TURIMAR II (ART);CB7028;14/03/2019 15:09:00;-36.641944;-73.090278;0;0
DON FERNANDO II (ART);CB6996;14/03/2019 15:09:00;-39.498333;-75.830833;254;0.797
ESTRELLA II (ART);CB4492;14/03/2019 15:09:00;-36.834722;-73.303611;28;1.691
EL ACUARIO I (ART);CA3606;14/03/2019 15:09:00;-36.839167;-73.391389;281;0.603
DON NORMA (ART);CB8675;14/03/2019 15:09:00;-36.683333;-73.056667;306;6.492
ORION IV (ART);CA3426;14/03/2019 15:09:00;-42.376111;-73.620556;318;0
LIDIA C (ART);CB8129;14/03/2019 15:09:00;-39.038889;-75.124167;10;5.598
DON MANUEL R (ART);CA3586;14/03/2019 15:09:00;-36.686667;-73.077222;235;6.901
NOVIA DEL MAR IV (ART);CA5130;14/03/2019 15:09:00;-36.708889;-73.071389;141;0.292
MARISELA I (ART);CA4876;14/03/2019 15:09:00;-36.699444;-73.0575;212;6.006
DON EDUARDO II (ART-TRP);CB8886;14/03/2019 15:09:00;-41.7225;-73.152778;128;0
CRISTINA (ART);CB7787;14/03/2019 15:09:00;-36.664722;-73.044444;220;6.706
DON WILLY (ART);CA4495;14/03/2019 15:09:00;-36.639722;-73.089167;52;0
BILL (ART);CB2187;14/03/2019 15:09:00;-36.711944;-73.112778;105;0
DON MATEO I (ART);CA5696;14/03/2019 15:09:00;-37.601389;-73.655833;220;0
FEIDIPIDES (L/B);CB5726;14/03/2019 15:09:00;-39.8336;-73.2559;197;0
JOSE LUIS (ART);CB4969;14/03/2019 15:09:00;-39.874722;-75.734444;7;6.901
INGRID FERNANDA (ART);CA2921;14/03/2019 15:08:58;-37.6039;-73.6514;113;0
EL BELA (ART);CB8059;14/03/2019 15:08:58;-37.0974;-73.167;290;0.194
ENRIQUE I (TRP);CB5437;14/03/2019 15:08:51;-45.4702;-72.8185;355;0
DON ANIBAL (ART);CB3976;14/03/2019 15:08:31;-42.5571;-74.3407;32;1.497
ARKHOS II (ART);CB6995;14/03/2019 15:08:30;-18.4716;-70.3223;334;0.505
ISAURA I (ART);CA2650;14/03/2019 15:08:30;-18.473;-70.3215;357;0
PETROHUE III (ART);CB8757;14/03/2019 15:08:30;-18.4723;-70.3211;39;0.505
DON FRUCTUOSO (ART);CB7433;14/03/2019 15:08:28;-18.4727;-70.3216;0;0
SAN FRANCISCO II (ART/TRP);CB9837;14/03/2019 15:08:22;-42.3823;-73.6532;0;0
SANTA MARIA II (L/B);CB3528;14/03/2019 15:08:11;-36.638;-73.0894;0;0
SARITA II (ART);CB6395;14/03/2019 15:08:00;-36.800833;-73.383056;102;1.691
FLOPY I (ART);CA5582;14/03/2019 15:08:00;-46.513889;-75.585556;40;5.793
DON ALFONSO IV (L/B);CA6685;14/03/2019 15:08:00;-39.826667;-75.484167;261;0.7
HALCON I (ART);CA5204;14/03/2019 15:08:00;-36.711389;-73.109722;185;0
DON MATEO (ART);CA2746;14/03/2019 15:08:00;-37.026389;-73.156667;51;0
DIEGO ESTEBAN (ART);CA5543;14/03/2019 15:07:58;-37.0277;-73.1597;271;0.097
VALENCIA (ART);CB2452;14/03/2019 15:07:54;-20.2046;-70.1527;8;0
MARIA CECILIA I (L/B);CA4895;14/03/2019 15:07:45;-22.091;-70.2043;358;0.991
YARODAL II (TRP);CA5657;14/03/2019 15:07:44;-53.3809;-69.5585;0;0
UZIEL II (ART);CB7875;14/03/2019 15:07:37;-36.5299;-72.9562;349;0.505
EBENEZER II (ART);CB8449;14/03/2019 15:07:36;-39.8398;-73.4237;187;6.492
REY SALOMON (ART);CB5545;14/03/2019 15:07:35;-41.7643;-73.1312;89;0.097
ABEL (ART);CA3747;14/03/2019 15:07:32;-18.4723;-70.3234;0;0
STA. ISABEL I (L/B);CB5705;14/03/2019 15:07:23;-51.2403;-75.9934;347;0.991
CARLOS FABIAN III (ART);CB9406;14/03/2019 15:07:19;-41.4866;-72.977;0;0
DON LUCHO (ART);CB9555;14/03/2019 15:07:17;-18.4716;-70.323;0;0
DON ROBERT (ART);CA2698;14/03/2019 15:07:02;-37.0445;-73.4503;340;8.009
LAUCA (ART);CA3610;14/03/2019 15:07:00;-36.696111;-73.073611;235;0
DON DEMETRIO III (ART);CB8555;14/03/2019 15:07:00;-37.098056;-73.165556;220;0
CANDELARIA II (ART);CA4249;14/03/2019 15:07:00;-28.146389;-71.270833;239;0
ANTARES II (ART);CB8832;14/03/2019 15:07:00;-42.882778;-73.480833;57;4.393
DON NAO (ART);CA2070;14/03/2019 15:07:00;-39.520833;-75.868333;21;7.698
DON JEAN PIERRE (ART);CB8435;14/03/2019 15:07:00;-39.156667;-75.541111;19;2.896
ESTURION (ART);CA3933;14/03/2019 15:07:00;-36.640833;-73.090278;44;0
DON ISAAC (ART);CA3231;14/03/2019 15:07:00;-41.764444;-73.128056;0;0
YOLIH (ART);CB2504;14/03/2019 15:07:00;-36.709444;-73.077222;267;4.004
DOÑA MERCEDES (ART);CB4519;14/03/2019 15:06:51;-23.0927;-70.4463;51;0
TUAREG I (ART);CB8162;14/03/2019 15:06:51;-18.4728;-70.3232;4;0.505
COYI I (ART);CA5350;14/03/2019 15:06:51;-18.472;-70.3214;17;0.505
MAR DE ROSS (ART);CB8583;14/03/2019 15:06:37;-41.4866;-72.9754;359;0.505
MARGOT MARIA (ART-TRP);CB5280;14/03/2019 15:06:36;-53.2089;-70.9387;359;0
DON DANIEL I (L/B);CB5201;14/03/2019 15:06:36;-36.7263;-73.1315;0;0
ELVA S (ART;CB3120;14/03/2019 15:06:30;-18.4719;-70.3214;0;0
ORCA (ART);CB8884;14/03/2019 15:06:29;-42.3823;-73.6534;1;0
LOBO DE AFUERA IV (ART);CA3433;14/03/2019 15:06:27;-18.4725;-70.3225;357;0.505
LOBA DE MAR (ART);CB5291;14/03/2019 15:06:14;-37.6031;-73.6531;15;0
CECILIA III (ART);CB5169;14/03/2019 15:06:05;-36.7264;-73.1314;0;0
DON SEBASTIAN (L/B);CA4530;14/03/2019 15:06:04;-39.3977;-73.2148;10;0
MAMA EDITH (ART);CA6783;14/03/2019 15:06:00;-37.161389;-73.356944;327;3.091
KAREN PAMELA (ART);CA4047;14/03/2019 15:06:00;-18.471667;-70.323611;331;0
NIÑA XIMENA (L/B);CA6685;14/03/2019 15:06:00;-37.1075;-73.490278;167;2.702
PIA LICETTY I (ART);CA5601;14/03/2019 15:06:00;-45.467222;-72.820278;311;0
PEDRO L (L/B);CA6466;14/03/2019 15:06:00;-36.7125;-73.112222;320;0
NELLY (ART);CB3301;14/03/2019 15:06:00;-37.026667;-73.158333;0;0
VALENTINA (L/B);CA7237;14/03/2019 15:06:00;-18.470833;-70.323056;323;0
JORGE ANDRES (ART);CA6216;14/03/2019 15:06:00;-37.025833;-73.1575;356;0
JEPE I (ART);CB6827;14/03/2019 15:06:00;-29.9671;-71.3606;0;0
DON CARLIN I (L/B);CA4559;14/03/2019 15:05:49;-41.4866;-72.9772;278;0
PETROHUE II (ART);CB7843;14/03/2019 15:05:40;-18.4726;-70.3208;0;0
PACIFICO A (TRP);CB3896;14/03/2019 15:05:28;-55.0368;-67.0233;0;0
DON PASCUAL (ART);CB5242;14/03/2019 15:05:18;-36.7127;-73.1117;5;0
ENRIQUETA (ART);CB4499;14/03/2019 15:05:05;-20.2883;-70.1964;17;4.996
PETROHUE I (ART);CB7842;14/03/2019 15:05:03;-18.4725;-70.3207;0;0
OCEANI III (ART);CB2594;14/03/2019 15:05:00;-41.777778;-73.131667;0;0
SANTA AIDA I (ART);CA2333;14/03/2019 15:05:00;-37.026389;-73.158889;0;0
MAR PRIMERO (ART);CB8415;14/03/2019 15:05:00;-37.5992;-73.662;138;0
ARKHOS IV (ART);CA6307;14/03/2019 15:04:37;-18.4716;-70.3224;344;0.505
CALYPSO III (L/B);CB3661;14/03/2019 15:04:30;-39.8331;-73.255;350;0
CAMPARI I (ART);CB9584;14/03/2019 15:04:27;-41.7875;-73.1487;307;0
COYI II (ART);CA5302;14/03/2019 15:04:23;-18.472;-70.3214;4;0.505
DON ALFONSO II (ART);CB6772;14/03/2019 15:04:00;-41.493056;-72.985;6;0
DOÑA CATALINA (ART);CB4518;14/03/2019 15:04:00;-37.025;-73.156667;172;0
